scale,model,split,kernel_family,target,smape,r2,rmse,n_samples,inference_seconds_per_sample
100,logistic_hurdle_rbf_threshold_graph,test,conv2d,bram,32.476287841796875,0.38442015647888184,15.280217170715332,13,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,conv2d,cycles_max,55.06778335571289,0.6549993753433228,1064638.125,13,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,conv2d,interval_max,57.10438919067383,0.5605097413063049,1201776.5,13,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,dense_latency,lut,17.12739372253418,0.8508514165878296,45032.6953125,42,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,dense_latency,ff,21.85614776611328,0.906782329082489,37673.5859375,42,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,dense_latency,dsp,21.01045036315918,0.8621247410774231,798.7951049804688,42,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,dense_latency,bram,0.0,1.0,0.0,42,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,dense_latency,cycles_max,28.677183151245117,0.8272997736930847,67.71041107177734,42,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,dense_latency,interval_max,28.59486961364746,0.8391498923301697,11.525086402893066,42,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,dense_resource,lut,10.44715690612793,0.9793018698692322,24454.4921875,34,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,dense_resource,ff,11.430662155151367,0.9373835325241089,13770.3798828125,34,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,dense_resource,dsp,19.963991165161133,0.7769481539726257,653.1083374023438,34,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,dense_resource,bram,9.1079683303833,0.9486099481582642,2.102588415145874,34,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,dense_resource,cycles_max,14.201699256896973,0.9461148381233215,584.0744018554688,34,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,dense_resource,interval_max,20.28863525390625,0.9207401275634766,99.36145782470703,34,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,rule4ml,lut,54.66057205200195,0.5765441656112671,80395.15625,59,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,rule4ml,ff,82.21205139160156,0.5620121955871582,29928.453125,59,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,rule4ml,dsp,45.13526916503906,0.01468038558959961,892.5765991210938,59,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,rule4ml,bram,60.90986633300781,0.2490738034248352,44.44235610961914,59,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,rule4ml,cycles_max,63.908660888671875,0.08018773794174194,443.9170837402344,59,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,rule4ml,interval_max,83.63066101074219,0.27907443046569824,65.33300018310547,59,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,exemplar,all,lut,65.02497863769531,0.2698822021484375,23490.25390625,400,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,exemplar,all,ff,77.39678192138672,0.21246367692947388,15378.44140625,400,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,exemplar,all,dsp,78.94490051269531,0.01327890157699585,699.2825927734375,400,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,exemplar,all,bram,48.603660583496094,0.10863018035888672,2.3871166706085205,400,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,exemplar,all,cycles_max,105.17082214355469,0.35708898305892944,1104.22265625,400,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,exemplar,all,interval_max,123.13319396972656,-0.1396641731262207,584.4207153320312,400,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,exemplar,exemplar,lut,65.02497863769531,0.2698822021484375,23490.25390625,400,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,exemplar,exemplar,ff,77.39678192138672,0.21246367692947388,15378.44140625,400,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,exemplar,exemplar,dsp,78.94490051269531,0.01327890157699585,699.2825927734375,400,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,exemplar,exemplar,bram,48.603660583496094,0.10863018035888672,2.3871166706085205,400,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,exemplar,exemplar,cycles_max,105.17082214355469,0.35708898305892944,1104.22265625,400,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,exemplar,exemplar,interval_max,123.13319396972656,-0.1396641731262207,584.4207153320312,400,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,exemplar,all,lut,65.02497863769531,0.2698822021484375,23490.25390625,400,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,exemplar,all,ff,77.39678192138672,0.21246367692947388,15378.44140625,400,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,exemplar,all,dsp,71.08870697021484,0.026631534099578857,694.5350341796875,400,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,exemplar,all,bram,55.57697296142578,0.020914971828460693,2.5018134117126465,400,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,exemplar,all,cycles_max,105.17082214355469,0.35708898305892944,1104.22265625,400,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,exemplar,all,interval_max,123.13319396972656,-0.1396641731262207,584.4207153320312,400,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,exemplar,exemplar,lut,65.02497863769531,0.2698822021484375,23490.25390625,400,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,exemplar,exemplar,ff,77.39678192138672,0.21246367692947388,15378.44140625,400,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,exemplar,exemplar,dsp,71.08870697021484,0.026631534099578857,694.5350341796875,400,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,exemplar,exemplar,bram,55.57697296142578,0.020914971828460693,2.5018134117126465,400,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,exemplar,exemplar,cycles_max,105.17082214355469,0.35708898305892944,1104.22265625,400,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,exemplar,exemplar,interval_max,123.13319396972656,-0.1396641731262207,584.4207153320312,400,0.0009913240720413764
200,logistic_hurdle_rbf_expected_graph,test,all,lut,21.48095703125,0.8682701587677002,39395.703125,294,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,all,ff,25.24953842163086,0.9207853078842163,19162.884765625,294,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,all,dsp,33.281593322753906,0.779765784740448,499.7216491699219,294,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,all,bram,26.177629470825195,0.653571367263794,17.734664916992188,294,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,all,cycles_max,24.866317749023438,0.7755826711654663,248173.65625,294,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,all,interval_max,29.47481346130371,0.730374276638031,272143.46875,294,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,2layer,lut,12.793676376342773,0.7798231244087219,3142.2578125,64,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,2layer,ff,11.567890167236328,0.7765662670135498,1873.2845458984375,64,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,2layer,dsp,18.47079086303711,0.6347036361694336,2.696010112762451,64,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,2layer,bram,22.818004608154297,-0.00412750244140625,2.1621556282043457,64,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,2layer,cycles_max,5.742858409881592,0.9780844449996948,327.05535888671875,64,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,2layer,interval_max,6.225100517272949,0.973774790763855,212.91896057128906,64,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,3layer,lut,13.555017471313477,0.7292468547821045,5060.16552734375,58,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,3layer,ff,11.812723159790039,0.7100844383239746,2803.98388671875,58,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,3layer,dsp,17.484525680541992,0.673438310623169,3.1734213829040527,58,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,3layer,bram,23.025230407714844,-0.09682917594909668,6.212993144989014,58,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,3layer,cycles_max,5.405539512634277,0.9801559448242188,458.51300048828125,58,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,3layer,interval_max,7.226968765258789,0.9733448028564453,226.46473693847656,58,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,conv1d,lut,10.254622459411621,0.9467061758041382,3101.299072265625,24,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,conv1d,ff,9.080038070678711,0.9005652666091919,5611.2509765625,24,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,conv1d,dsp,8.184800148010254,0.9576245546340942,0.5000593662261963,24,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,conv1d,bram,35.44529724121094,0.5106117129325867,8.296205520629883,24,0.001971026253599257
