model,split,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
ridge,exemplar,cycles_max,0.4684901833534241,97.4940185546875,954.2461547851562,-154.951416015625,-537.579345703125,-835.6263427734375,-19.371793746948242,2.4173000019800383e-06,100
ridge,exemplar,interval_max,0.16009581089019775,118.27579498291016,429.8125,-49.99696350097656,-281.7792053222656,-506.6542663574219,68.25543212890625,2.4173000019800383e-06,100
extra_trees,synthetic_test,lut,0.52479487657547,33.566650390625,93354.0546875,0.1941400170326233,-13.875518798828125,-21.276037216186523,19.246065139770508,0.0014712970109890242,91
extra_trees,synthetic_test,ff,0.5474731922149658,32.89738845825195,42282.8046875,1.3803569078445435,-44.71282196044922,-17.448150634765625,20.300161361694336,0.0014712970109890242,91
extra_trees,synthetic_test,dsp,0.12320613861083984,47.09734344482422,1206.2906494140625,-0.4817962050437927,-11.801870346069336,-22.143693923950195,31.331340789794922,0.0014712970109890242,91
extra_trees,synthetic_test,bram,0.4948822259902954,37.48716354370117,22.619672775268555,-4.760043144226074,-16.346359252929688,-35.85026550292969,9.734848022460938,0.0014712970109890242,91
extra_trees,synthetic_test,cycles_max,0.6827738285064697,32.79030990600586,254926.0625,-0.334711492061615,-35.0555419921875,-17.61215591430664,21.37577247619629,0.0014712970109890242,91
extra_trees,synthetic_test,interval_max,0.6825504302978516,42.1137809753418,255191.203125,0.7025478482246399,-38.139076232910156,-20.69417381286621,27.13553237915039,0.0014712970109890242,91
extra_trees,exemplar,lut,0.13797742128372192,89.54647827148438,24066.037109375,-191.494384765625,-425.72344970703125,-314.88018798828125,-15.453425407409668,0.001366473230000338,100
extra_trees,exemplar,ff,0.1797206997871399,84.09075927734375,13336.1630859375,-51.228431701660156,-1127.2967529296875,-241.38063049316406,26.3568115234375,0.001366473230000338,100
extra_trees,exemplar,dsp,-0.0941084623336792,132.83135986328125,877.4921264648438,-149.44432067871094,-267.34844970703125,-428.8437194824219,69.56458282470703,0.001366473230000338,100
extra_trees,exemplar,bram,-7.11417293548584,125.00993347167969,6.2457098960876465,-293.24444580078125,-355.6755065917969,-534.7646484375,-125.97944641113281,0.001366473230000338,100
extra_trees,exemplar,cycles_max,0.02790910005569458,111.79154205322266,1290.5006103515625,-89.22541809082031,-388.50640869140625,-727.6400146484375,41.1385612487793,0.001366473230000338,100
extra_trees,exemplar,interval_max,-0.23545992374420166,138.19400024414062,521.2888793945312,-80.76864624023438,-252.43673706054688,-535.7186889648438,86.93120574951172,0.001366473230000338,100
rbf_svr,synthetic_test,lut,0.6408791542053223,29.59429931640625,81154.5625,-0.8802464008331299,-8.670170783996582,-19.330589294433594,17.376089096069336,0.12563063186813192,91
rbf_svr,synthetic_test,ff,0.6819431781768799,30.74888038635254,35448.1875,-3.2857775688171387,-43.96398162841797,-15.96513557434082,12.09434700012207,0.12563063186813192,91
